City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,vorkuta,67.5,64.0,-11.28,81,100,1.86,RU,1711447263
145,iqaluit,63.7506,-68.5145,-14.15,72,75,12.35,CA,1711447103
146,sasebo,33.1592,129.7228,13.35,81,100,6.36,JP,1711447263
147,tsiombe,-25.3,45.4833,27.39,51,47,7.68,MG,1711447264
148,saldanha,-33.0117,17.9442,23.03,77,89,6.89,ZA,1711447265
149,hirara,24.8,125.2833,19.92,82,75,10.29,JP,1711447265
150,codrington,-38.2667,141.9667,15.62,73,61,3.01,AU,1711447266
151,quang ngai,15.1167,108.8,27.01,78,8,4.05,VN,1711447266
152,kerikeri,-35.2268,173.9474,15.51,85,2,1.88,NZ,1711447267
153,hailin,44.5833,129.4167,1.33,64,0,2.19,CN,1711447267
154,coquimbo,-29.9533,-71.3436,16.85,88,100,1.54,CL,1711447235
155,les cayes,18.2,-73.75,23.46,85,4,2.55,HT,1711447268
156,kuytun,54.3419,101.5036,-0.63,82,100,7.85,RU,1711447269
157,sao felix do xingu,-6.6447,-51.995,22.21,99,100,0.2,BR,1711447253
158,bahia de caraquez,-0.6,-80.4167,24.1,90,97,1.22,EC,1711447270
159,lhasa,29.65,91.1,10.8,16,92,0.58,CN,1711447271
160,castillos,-34.1667,-53.8333,14.91,82,66,0.92,UY,1711447271
161,chibougamau,49.9168,-74.3659,-4.21,54,40,4.63,CA,1711447272
162,ballina,-28.8667,153.5667,20.99,90,100,3.69,AU,1711447272
163,anadyr,64.75,177.4833,-22.72,76,75,7.0,RU,1711447272
164,sao joao da barra,-21.6403,-41.0511,24.05,92,100,1.58,BR,1711447273
165,vilyuchinsk,52.9306,158.4028,-0.85,81,96,1.44,RU,1711447273
166,hasaki,35.7333,140.8333,11.22,84,98,17.39,JP,1711447275
167,deschutes river woods,43.9915,-121.3584,1.84,74,26,1.34,US,1711447275
168,jakobstad,63.6749,22.7026,-1.65,56,52,1.12,FI,1711447276
169,ban ao nang,8.0458,98.8103,34.11,60,39,5.76,TH,1711447276
170,paradip garh,20.3167,86.6167,31.83,50,1,9.94,IN,1711447277
171,bilibino,68.0546,166.4372,-23.01,88,7,1.94,RU,1711447277
172,zaozersk,69.4005,32.4476,-8.93,72,98,1.57,RU,1711447278
173,luganville,-15.5333,167.1667,26.88,90,90,2.28,VU,1711447279
174,mount isa,-20.7333,139.5,28.87,61,75,3.09,AU,1711447248
175,alesund,62.4723,6.1549,5.05,53,0,2.06,NO,1711447043
176,east london,-33.0153,27.9116,20.52,100,20,1.03,ZA,1711447281
177,manta,-0.95,-80.7333,25.56,83,75,3.58,EC,1711447201
178,baruun-urt,46.6806,113.2792,-0.18,78,37,2.83,MN,1711447283
179,shingu,33.7333,135.9833,7.56,72,30,3.35,JP,1711447283
180,poltavka,54.3663,71.7632,-0.19,100,100,4.72,RU,1711447115
181,dunedin,-45.8742,170.5036,10.45,93,100,0.45,NZ,1711447285
182,badger,64.8,-147.5333,2.3,86,75,0.0,US,1711447285
183,hillsboro,45.5229,-122.9898,8.69,92,100,0.45,US,1711447105
184,gorele,41.0308,39.0031,12.47,51,52,1.25,TR,1711447286
185,tangalle,6.024,80.7911,33.09,71,45,4.51,LK,1711447287
186,enewetak,11.3474,162.3373,27.3,79,13,9.17,MH,1711447288
187,burang,30.25,81.1667,2.79,51,82,1.64,CN,1711447288
188,ixtapa,20.7,-105.2,14.74,79,15,1.75,MX,1711447288
189,melo,-32.3667,-54.1833,13.19,96,18,2.24,UY,1711447018
190,luau,-10.7073,22.2247,27.3,59,64,3.22,AO,1711447289
191,cold lake,54.4502,-110.2017,-7.03,68,75,5.66,CA,1711447286
192,northam,51.0333,-4.2167,9.78,87,100,3.43,GB,1711447290
193,lazaro cardenas,17.9583,-102.2,18.34,80,85,1.45,MX,1711447291
194,edson,53.5835,-116.4356,-7.92,79,75,2.57,CA,1711447291
195,withernsea,53.7311,0.0335,10.62,80,100,3.29,GB,1711447292
196,ilukste,55.9775,26.2966,8.47,57,19,2.64,LV,1711447292
197,vanino,49.0869,140.2543,-5.6,90,17,1.1,RU,1711447293
198,college,64.8569,-147.8028,2.34,79,75,0.0,US,1711447202
199,kingston,17.997,-76.7936,27.53,78,20,1.03,JM,1711447143
200,sitka,57.0531,-135.33,6.94,87,100,1.54,US,1711447278
201,seven pagodas,12.6264,80.1722,32.03,53,0,4.82,IN,1711447294
202,queenstown,-31.8976,26.8753,28.91,30,76,5.77,ZA,1711447105
203,carnarvon,-24.8667,113.6333,28.23,49,0,7.74,AU,1711447013
204,makokou,0.5738,12.8642,33.12,48,35,0.59,GA,1711447296
205,shimoda,34.6667,138.95,9.5,88,100,5.17,JP,1711447297
206,taunsa,30.7048,70.6505,36.68,15,100,0.56,PK,1711447297
207,wailua homesteads,22.0669,-159.378,22.08,83,52,0.89,US,1711447298
208,urangan,-25.3,152.9,23.44,95,99,3.13,AU,1711447298
209,at taj,24.2049,23.2857,27.42,11,27,6.18,LY,1711447299
210,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,70,75,8.05,RU,1711447299
211,constantia,44.1833,28.65,12.61,48,0,4.23,RO,1711447300
212,mitu,1.1983,-70.1733,22.6,91,8,0.5,CO,1711447300
213,luderitz,-26.6481,15.1594,24.49,48,3,8.96,NA,1711447301
214,novodvinsk,64.4165,40.8122,-3.14,79,92,0.82,RU,1711447301
215,al khawr,25.7667,51.3167,23.32,40,0,10.09,QA,1711447302
216,malvan,16.0667,73.4667,29.41,64,0,6.33,IN,1711447302
217,franceville,-1.6333,13.5836,28.25,78,40,1.04,GA,1711447302
218,yershov,51.3513,48.2766,1.24,98,100,9.37,RU,1711447303
219,rongelap,11.1635,166.8941,27.04,79,22,9.84,MH,1711447304
220,papireddippatti,11.9177,78.3687,35.12,19,0,5.25,IN,1711447304
221,ta`u,-14.2336,-169.5144,29.36,75,14,4.96,AS,1711447305
222,beyneu,45.3167,55.2,10.13,75,100,13.1,KZ,1711447305
223,fortuna,40.5982,-124.1573,8.88,97,100,0.0,US,1711447306
224,vallo della lucania,40.2297,15.2658,15.31,59,100,0.76,IT,1711447306
225,tionk essil,12.7856,-16.5217,25.03,27,99,5.46,SN,1711447307
226,khilok,51.3674,110.4676,3.21,76,98,1.38,RU,1711447307
227,vorgashor,67.5833,63.95,-11.6,81,100,1.65,RU,1711447308
228,illizi,26.4833,8.4667,28.89,16,35,9.05,DZ,1711447308
229,zeya,53.75,127.2667,-0.84,85,91,2.37,RU,1711447309
230,mount gambier,-37.8333,140.7667,13.58,78,46,1.46,AU,1711447309
231,viqueque,-8.8673,126.3658,26.82,87,100,0.92,TL,1711447309
232,afaahiti,-17.75,-149.2833,25.93,76,30,5.82,PF,1711447310
233,lompoc,34.6391,-120.4579,10.43,88,0,4.92,US,1711447205
234,mejit,10.2753,170.8646,26.96,73,89,10.41,MH,1711447311
235,kenai,60.5544,-151.2583,2.27,96,40,0.0,US,1711447311
236,kavaratti,10.5669,72.642,28.75,69,22,3.52,IN,1711447312
237,ipatovo,45.7181,42.9036,9.1,65,100,3.45,RU,1711447017
238,xining,36.6167,101.7667,10.01,44,100,2.77,CN,1711447212
239,nogliki,51.8333,143.1667,-5.37,86,93,2.68,RU,1711447313
240,karagay,58.2667,54.9368,2.15,99,100,2.11,RU,1711447314
241,coari,-4.085,-63.1414,22.98,99,100,0.26,BR,1711447314
242,caala,-12.8525,15.5606,21.74,53,67,2.65,AO,1711447314
243,saipan,15.1355,145.701,26.47,1,90,5.36,MP,1711447315
244,sarh,9.1429,18.3923,34.95,41,0,4.12,TD,1711447315
245,hotan,37.0997,79.9269,22.33,11,41,8.59,CN,1711447316
246,mata-utu,-13.2816,-176.1745,29.55,74,26,4.55,WF,1711447316
247,fomboni,-12.28,43.7425,29.36,77,100,6.43,KM,1711447317
248,gore,-46.1028,168.9436,8.46,75,100,1.53,NZ,1711447317
249,forster,-32.1667,152.5167,19.05,97,0,4.03,AU,1711447318
250,atafu village,-8.5421,-172.5159,28.59,79,99,6.96,TK,1711447318
251,don sak,9.3168,99.6918,30.94,66,30,8.47,TH,1711447319
252,kokstad,-30.5472,29.4241,28.47,30,83,2.58,ZA,1711447319
253,strezhevoy,60.7333,77.5889,-9.46,72,100,4.92,RU,1711447320
254,jamestown,42.097,-79.2353,7.62,41,0,8.75,US,1711447241
255,dabakala,8.3667,-4.4333,30.44,61,98,2.8,CI,1711447321
256,neietsu,37.1845,128.4682,4.62,88,68,0.66,KR,1711447321
257,north bend,43.4065,-124.2243,8.95,81,100,2.57,US,1711447322
258,phek,25.6667,94.5,17.7,58,84,0.43,IN,1711447322
259,klaksvik,62.2266,-6.589,1.51,56,100,9.93,FO,1711447323
